Description of Emergency,Title of Emergency
KING ST & N YORK ST;  POTTSTOWN; Station 329; 2015-12-10 @ 19:17:13;,EMS: SUBJECT IN PAIN
RIDGE PIKE & CHURCH RD; WHITEMARSH; 2015-12-10 @ 19:19:19;,Traffic: DISABLED VEHICLE -
W MONTGOMERY AVE & PENNSWOOD RD; LOWER MERION; 2015-12-10 @ 19:25:22;,Traffic: DISABLED VEHICLE -
CEDAR ST & E HANCOCK ST; LANSDALE; 2015-12-10 @ 19:06:07;,Traffic: VEHICLE ACCIDENT -
FAIRFIELD DR & FARMAR LN;  WHITEMARSH; Station 318; 2015-12-10 @ 19:23:08;,EMS: HEMORRHAGING
CLEMENS RD & FORTY FOOT RD;  HATFIELD TOWNSHIP; Station 345; 2015-12-10 @ 19:25:07;,EMS: UNKNOWN MEDICAL EMERGENCY
BROAD ST & E 6TH ST;  LANSDALE; Station 345; 2015-12-10 @ 19:22:25;,EMS: FALL VICTIM
DEKALB ST & E ELM ST;  NORRISTOWN; Station 308A; 2015-12-10 @ 19:21:47;,EMS: RESPIRATORY EMERGENCY
4TH ST & DEPOT ST;  BRIDGEPORT; Station 317; 2015-12-10 @ 19:35:47;,EMS: ASSAULT VICTIM
MAIN ST & OLD SUMNEYTOWN PIKE;  LOWER SALFORD; Station 344; 2015-12-10 @ 19:38:31;,EMS: FALL VICTIM
TOWAMENCIN AVE & SUMNEYTOWN PIKE;  TOWAMENCIN; Station 345B; 2015-12-10 @ 19:43:24;,EMS: RESPIRATORY EMERGENCY
SHANNONDELL DR & SHANNONDELL BLVD;  LOWER PROVIDENCE; Station 322A; 2015-12-10 @ 19:49:37;,EMS: SUBJECT IN PAIN
BUTLER AVE & N RIDGE AVE;  AMBLER; Station 351; 2015-12-10 @ 19:54:45;,EMS: SEIZURES
AVIGNON DR & DEAD END; LOWER MERION; 2015-12-10 @ 20:01:29-Station:STA24;,Fire: GAS-ODOR/LEAK
LLOYD LN & DRAYTON LN;  LOWER MERION; Station 313; 2015-12-10 @ 20:05:27;,EMS: DIABETIC EMERGENCY
DELMAR CT & CLAREMONT DR;  MONTGOMERY; Station 345A; 2015-12-10 @ 20:10:27;,EMS: SUBJECT IN PAIN
HIGH ST & BROWN ST;  LOWER POTTSGROVE; Station 329; 2015-12-10 @ 20:09:47;,EMS: UNKNOWN MEDICAL EMERGENCY
COWPATH RD & MEADOW WOOD LN;  FRANCONIA; Station 339; 2015-12-10 @ 20:06:36;,EMS: HEAD INJURY
WELSH RD & LOWER STATE RD; HORSHAM; 2015-12-10 @ 20:07:25;,Traffic: VEHICLE ACCIDENT -
HIGH ST & S PARK RD; LOWER POTTSGROVE; 2015-12-10 @ 20:24:17;,Traffic: DISABLED VEHICLE -
HANOVER ST & E URNER ST;  CHESTER COUNTY; Station 3A84; 2015-12-10 @ 20:26:35;,EMS: FALL VICTIM
NEW HOPE ST & CEDAR LN;  NORRISTOWN; Station 308A; 2015-12-10 @ 20:26:14;,EMS: FALL VICTIM
BELMONT AVE & E CITY AVE; LOWER MERION; 2015-12-10 @ 20:36:49;,Traffic: VEHICLE ACCIDENT -
SWAMP PIKE & ROMIG RD;  NEW HANOVER; Station 332; 2015-12-10 @ 20:45:14;,EMS: SYNCOPAL EPISODE
MEADOW LN & MONTGOMERY AVE; LOWER MERION; 2015-12-10 @ 20:43:44-Station:STA28;,Fire: CARBON MONOXIDE DETECTOR
WORTH BLVD & TYSON ST;  CHESTER COUNTY; Station 3A84; 2015-12-10 @ 20:50:14;,EMS: MEDICAL ALERT ALARM
MONTGOMERY AVE & THORNBROOK AVE;  LOWER MERION; Station 313; 2015-12-10 @ 20:49:08;,EMS: RESPIRATORY EMERGENCY
PENN VALLEY RD & MANOR RD;  LOWER MERION; Station 313; 2015-12-10 @ 20:53:30;,EMS: ABDOMINAL PAINS
BLOMMER DR & GRAVEL PIKE; UPPER HANOVER; 2015-12-10 @ 21:01:26-Station:STA38;,Fire: FIRE ALARM
STENTON AVE & E EVERGREEN AVE;  SPRINGFIELD; Station 311; 2015-12-10 @ 21:10:36;,EMS: RESPIRATORY EMERGENCY
HILLSIDE CT & NESHAMINY FALLS CIR;  MONTGOMERY; Station 345A; 2015-12-10 @ 21:12:35;,EMS: UNRESPONSIVE SUBJECT
N PLEASANT VIEW RD & WELSH DR; LOWER POTTSGROVE; 2015-12-10 @ 21:19:21;,Traffic: ROAD OBSTRUCTION -
CHESTNUT ST & N FRANKLIN ST; POTTSTOWN; 2015-12-10 @ 21:24:47-Station:STA69;,Fire: PUMP DETAIL
BUSTARD RD & KRIEBEL RD; TOWAMENCIN; 2015-12-10 @ 21:31:19;,Traffic: VEHICLE ACCIDENT -
FOX CHASE RD & LOS ANGELES AVE; ROCKLEDGE; 2015-12-10 @ 21:36:01-Station:STA9;,Fire: FIRE INVESTIGATION
BUSTARD RD & OLD MORRIS RD; TOWAMENCIN; 2015-12-10 @ 21:31:19;,Traffic: VEHICLE ACCIDENT -
SHELMIRE ST & CEDAR RD; ABINGTON; 2015-12-10 @ 21:47:14;,Traffic: DISABLED VEHICLE -
SWAMP PIKE & SANATOGA RD; NEW HANOVER; 2015-12-10 @ 21:56:14;,Traffic: DISABLED VEHICLE -
CHELTENHAM AVE & DELPHINE RD; SPRINGFIELD; 2015-12-10 @ 21:58:11;,Traffic: VEHICLE ACCIDENT -
MARK LN & IVY CIR;  LOWER PROVIDENCE; Station 322; 2015-12-10 @ 22:03:14;,EMS: CVA/STROKE
HEMLOCK RD & SHIRLEY LN;  WEST NORRITON; Station 308B; 2015-12-10 @ 22:24:21;,EMS: FALL VICTIM
CEDAR LN & WILLOW LN;  NEW HANOVER; Station 332; 2015-12-10 @ 22:22:38;,EMS: SEIZURES
GEORGE ST & HAWS ALY;  NORRISTOWN; Station 308A; 2015-12-10 @ 22:29:17;,EMS: CARDIAC EMERGENCY
FITZWATERTOWN RD & BARTRAM RD;  UPPER MORELAND; Station 381; 2015-12-10 @ 22:27:24;,EMS: OVERDOSE
ADAMS ST & WALNUT ST; ROYERSFORD; 2015-12-10 @ 22:35:51-Station:STA98;,Fire: FIRE ALARM
ASHBOURNE RD & ROWLAND AVE; CHELTENHAM; 2015-12-10 @ 22:41:53;,Traffic: VEHICLE ACCIDENT -
HIGH ST & S FRANKLIN ST;  POTTSTOWN; Station 329; 2015-12-10 @ 22:54:53;,EMS: FALL VICTIM
BURN BRAE DR & DUNDEE DR; UPPER DUBLIN; 2015-12-10 @ 22:52:55-Station:STA88;,Fire: GAS-ODOR/LEAK
SHANNONDELL DR & SHANNONDELL BLVD;  LOWER PROVIDENCE; Station 322A; 2015-12-10 @ 22:55:35;,EMS: ABDOMINAL PAINS
HEATH RD & ZOLLINGER WAY; LOWER MERION; 2015-12-10 @ 23:01:58-Station:STA26;,Fire: FIRE ALARM
BELMONT AVE & OVERHILL RD; LOWER MERION; 2015-12-10 @ 23:02:27;,Traffic: DISABLED VEHICLE -
HIGH ST & S FRANKLIN ST;  POTTSTOWN; Station 329; 2015-12-10 @ 23:10:34;,EMS: SUBJECT IN PAIN
STENTON AVE & E EVERGREEN AVE;  SPRINGFIELD; Station 311; 2015-12-10 @ 23:06:39;,EMS: RESPIRATORY EMERGENCY
RIDGE PIKE & OAKWYN RD;  WHITEMARSH; Station 318; 2015-12-10 @ 23:16:10;,EMS: NAUSEA/VOMITING
BARBERRY DR & PHEASANT LN;  WHITEMARSH; Station 318; 2015-12-10 @ 23:32:46;,EMS: ABDOMINAL PAINS
HIGH ST & S EVANS ST; POTTSTOWN; 2015-12-10 @ 23:45:50;,Traffic: DISABLED VEHICLE -
DAVISVILLE RD & PENNYPACK RD;  UPPER MORELAND; Station 381; 2015-12-10 @ 23:58:13;,EMS: CARDIAC EMERGENCY
WASHINGTON LN & W CHURCH RD;  CHELTENHAM; Station 358A; 2015-12-11 @ 00:01:29;,EMS: RESPIRATORY EMERGENCY
OAK ST & MAPLE ALY;  NORRISTOWN; Station 308A; 2015-12-11 @ 00:36:02;,EMS: MATERNITY
RIVER RD & 3RD ST;  UPPER MERION; Station 317; 2015-12-11 @ 00:55:01;,EMS: HEAD INJURY
RIDGE PIKE & S GRANGE AVE;  LOWER PROVIDENCE; Station 322; 2015-12-11 @ 01:05:27;,EMS: UNCONSCIOUS SUBJECT
GRUBB RD & LARSON RD;  UPPER SALFORD; Station 331; 2015-12-11 @ 01:14:20;,EMS: SUBJECT IN PAIN
RED LION RD & RR CROSSING; LOWER MORELAND; 2015-12-11 @ 01:15:42;,Traffic: DISABLED VEHICLE -
DREYCOTT LN & W LANCASTER AVE;  LOWER MERION; Station 313; 2015-12-11 @ 01:29:52;,EMS: NAUSEA/VOMITING
AIRY ST & TREMONT AVE;  NORRISTOWN; Station 308A; 2015-12-11 @ 02:00:40;,EMS: HEMORRHAGING
PENN AVE & GARFIELD AVE;  ABINGTON; Station 383; 2015-12-11 @ 02:10:29;,EMS: DIZZINESS
RIVER RD & SWEDELAND RD; UPPER MERION; 2015-12-11 @ 02:26:33-Station:STA48;,Fire: FIRE ALARM
CITY AVE & N 47TH ST; LOWER MERION; 2015-12-11 @ 02:34:58;,Traffic: VEHICLE ACCIDENT -
NORTH HILLS DR & JANEWAY DR;  NORRISTOWN; Station 308A; 2015-12-11 @ 03:02:34;,EMS: RESPIRATORY EMERGENCY
THE FAIRWAY  & RYDAL RD;  ABINGTON; Station 382; 2015-12-11 @ 03:09:08;,EMS: RESPIRATORY EMERGENCY
4TH AVE & SPRING ST;  ROYERSFORD; Station 325; 2015-12-11 @ 03:15:36;,EMS: HEMORRHAGING
WOODSTREAM WAY & CHERRYWOOD DR;  MONTGOMERY; Station 345A; 2015-12-11 @ 03:16:28;,EMS: FALL VICTIM
GREEN VALLEY RD & MT PLEASANT RD; LOWER MERION; 2015-12-11 @ 03:27:07-Station:STA24;,Fire: FIRE ALARM
GREEN ST & E AIRY ST;  NORRISTOWN; Station 308A; 2015-12-11 @ 03:50:26;,EMS: CHOKING
6TH AVE & WOOD ST;  CONSHOHOCKEN; Station 313A; 2015-12-11 @ 03:47:25;,EMS: LACERATIONS
WOOD ST & W 5TH AVE;  CONSHOHOCKEN; Station 313A; 2015-12-11 @ 03:47:25;,EMS: LACERATIONS
HARMONY DR & W HARMONY DR;  POTTSTOWN; Station 329; 2015-12-11 @ 03:59:09;,EMS: HEAD INJURY
NEW HOPE ST & CEDAR LN;  NORRISTOWN; Station 308A; 2015-12-11 @ 04:05:26;,EMS: MEDICAL ALERT ALARM
MONTGOMERY AVE & WOODSIDE RD;  LOWER MERION; Station 313; 2015-12-11 @ 04:11:35;,EMS: HEAD INJURY
SANDSTONE DR & NORTH PENN RD; HATFIELD TOWNSHIP; 2015-12-11 @ 04:19:56-Station:STA17;,Fire: FIRE ALARM
CHURCH ST & S MAIN ST; AMBLER; 2015-12-11 @ 04:31:00-Station:STA7;,Fire: CARBON MONOXIDE DETECTOR
SENTRY PKWY & WALTON RD; WHITPAIN; 2015-12-11 @ 04:38:11-Station:STA33;,Fire: FIRE ALARM
MAIN ST & FRONT ST; PENNSBURG; 2015-12-11 @ 04:36:27-Station:STA65;,Fire: TRASH/DUMPSTER FIRE
NORTHGATE BLVD & QUAKERTOWN RD; WHITPAIN; 2015-12-11 @ 05:19:35;,Traffic: VEHICLE ACCIDENT -
SKIPPACK PIKE & WALTON RD; WHITPAIN; 2015-12-11 @ 05:20:59;,Traffic: DISABLED VEHICLE -
RT663 & QUAKERTOWN AVE; UPPER HANOVER; 2015-12-11 @ 05:19:35;,Traffic: VEHICLE ACCIDENT -
RT663; UPPER HANOVER; 2015-12-11 @ 05:27:49-Station:STA65;,Fire: VEHICLE ACCIDENT
EAGLE DR & BURNSIDE AVE; WEST NORRITON; 2015-12-11 @ 05:55:06-Station:STA46;,Fire: FIRE ALARM
HONEY RUN RD & JEFFERSON RD;  UPPER DUBLIN; Station 351; 2015-12-11 @ 06:01:00;,EMS: RESPIRATORY EMERGENCY
WOODS DR & DETWILER RD;  TOWAMENCIN; Station 345B; 2015-12-11 @ 06:05:42;,EMS: DIZZINESS
WASHINGTON AVE & E HAMLIN AVE;  TELFORD; Station 339; 2015-12-11 @ 06:16:36;,EMS: RESPIRATORY EMERGENCY
DETWEILER LN & BUTLER PIKE;  WHITEMARSH; Station 318; 2015-12-11 @ 06:19:42;,EMS: MEDICAL ALERT ALARM
GERMANTOWN PIKE & BRIDLE PATH RD; EAST NORRITON; 2015-12-11 @ 06:17:56;,Traffic: VEHICLE ACCIDENT -
POWELL ST & E LOGAN ST;  NORRISTOWN; Station 308A; 2015-12-11 @ 06:23:57;,EMS: FALL VICTIM
BEIDLER RD & SARATOGA RD;  UPPER MERION; Station 317; 2015-12-11 @ 06:27:29;,EMS: GENERAL WEAKNESS
SWAMP PIKE & SANATOGA RD; NEW HANOVER; 2015-12-11 @ 06:34:05;,Traffic: DISABLED VEHICLE -
WESTVIEW DR & ASH WAY;  UPPER FREDERICK; Station 344A; 2015-12-11 @ 06:38:39;,EMS: ABDOMINAL PAINS
COLONIAL RD & HILDEBEIDEL RD;  UPPER FREDERICK; Station 331; 2015-12-11 @ 06:55:44;,EMS: MEDICAL ALERT ALARM
SOUTH ST & S EVANS ST; POTTSTOWN; 2015-12-11 @ 07:04:00;,Traffic: VEHICLE ACCIDENT -
SCHUYLKILL EXPY & MILL CREEK RD UNDERPASS; LOWER MERION; 2015-12-11 @ 07:09:41;,Traffic: DISABLED VEHICLE -
SHANNONDELL DR & SHANNONDELL BLVD;  LOWER PROVIDENCE; Station 322A; 2015-12-11 @ 07:17:26;,EMS: FALL VICTIM
EDGEHILL LN & HOLLOW RD; UPPER PROVIDENCE; 2015-12-11 @ 07:23:38;,Traffic: VEHICLE ACCIDENT -
CHESTNUT ST & N FRANKLIN ST; POTTSTOWN; 2015-12-11 @ 07:26:10-Station:STA69;,Fire: GAS-ODOR/LEAK
E LEVERING MILL RD & CONSHOHOCKEN STATE RD; LOWER MERION; 2015-12-11 @ 07:29:58;,Traffic: VEHICLE ACCIDENT -
RENAISSANCE BLVD & SWEDELAND RD; UPPER MERION; 2015-12-11 @ 07:28:48;,Traffic: VEHICLE ACCIDENT -
THE FAIRWAY  & RYDAL RD;  ABINGTON; Station 382; 2015-12-11 @ 07:31:07;,EMS: HEMORRHAGING
JAMES ST & FOREST AVE; WEST NORRITON; 2015-12-11 @ 07:42:01;,Traffic: VEHICLE ACCIDENT -
BUTLER AVE & S CHESTNUT ST;  AMBLER; Station 351; 2015-12-11 @ 07:53:34;,EMS: RESPIRATORY EMERGENCY
LINE ST & COWPATH RD; HATFIELD TOWNSHIP; 2015-12-11 @ 07:58:37-Station:STA12;,Fire: UNKNOWN TYPE FIRE
EASTON RD & ANDREA DR;  UPPER MORELAND; Station 381; 2015-12-11 @ 08:01:43;,EMS: UNRESPONSIVE SUBJECT
SUSQUEHANNA RD & EASTON RD; ABINGTON; 2015-12-11 @ 08:04:24;,Traffic: VEHICLE ACCIDENT -
GLENN VALLEY DR & E ROBERTS ST;  NORRISTOWN; Station 308A; 2015-12-11 @ 08:06:51;,EMS: FALL VICTIM
HANCOCK ST & RR CROSSING; LANSDALE; 2015-12-11 @ 08:06:28;,Traffic: VEHICLE ACCIDENT -
BARNDT RD & COWPATH RD; SALFORD; 2015-12-11 @ 08:11:35-Station:STA72;,Fire: BUILDING FIRE
LIMEKILN PIKE & GREENWOOD AVE; CHELTENHAM; 2015-12-11 @ 08:12:11;,Traffic: VEHICLE ACCIDENT -
CEDAR AVE & COTTAGE AVE; HORSHAM; 2015-12-11 @ 08:11:42;,Traffic: VEHICLE ACCIDENT -
E JOHNSON HWY & DEKALB PIKE; NORRISTOWN; 2015-12-11 @ 08:13:29;,Traffic: VEHICLE ACCIDENT -
SUSQUEHANNA RD & TYSON AVE OVERPASS; ABINGTON; 2015-12-11 @ 08:04:24;,Traffic: VEHICLE ACCIDENT -
BROAD ST & S WAYNE AVE;  HATFIELD BORO; Station 345; 2015-12-11 @ 08:20:51;,EMS: GENERAL WEAKNESS
GULPH RD & W DEKALB PIKE; UPPER MERION; 2015-12-11 @ 08:21:47-Station:STA47;,Fire: ELECTRICAL FIRE OUTSIDE
W DEKALB PIKE & TOWN CENTER RD; UPPER MERION; 2015-12-11 @ 08:26:35;,Traffic: DISABLED VEHICLE -
NEW GULPH RD & CAVERSHAM RD;  LOWER MERION; Station 313; 2015-12-11 @ 08:29:10;,EMS: SUBJECT IN PAIN
OLD YORK RD & HIDDEN LN; ABINGTON; 2015-12-11 @ 08:26:36;,Traffic: VEHICLE ACCIDENT -
SUMNEYTOWN PIKE & RR OVERPASS;  UPPER GWYNEDD; Station 345B; 2015-12-11 @ 08:31:15;,EMS: SUBJECT IN PAIN
HORSHAM RD & DOYLESTOWN PIKE; MONTGOMERY; 2015-12-11 @ 08:32:15;,Traffic: VEHICLE ACCIDENT -
SHANNONDELL DR & SHANNONDELL BLVD;  LOWER PROVIDENCE; Station 322A; 2015-12-11 @ 08:44:20;,EMS: CARDIAC EMERGENCY
HORSHAM RD & CAREDEAN DR; HORSHAM; 2015-12-11 @ 08:41:39;,Traffic: VEHICLE ACCIDENT -
COUNTY LINE RD & BAUS RD;  LEHIGH COUNTY; Station 369; 2015-12-11 @ 08:46:05;,EMS: CVA/STROKE
BERGEY RD & CAMPUS DR; HATFIELD TOWNSHIP; 2015-12-11 @ 08:50:08-Station:STA17;,Fire: FIRE ALARM
GREENWOOD AVE; CHELTENHAM; 2015-12-11 @ 08:47:58-Station:STA1;,Fire: DEBRIS/FLUIDS ON HIGHWAY
TWIN SILO DR & MORRIS RD; WHITPAIN; 2015-12-11 @ 08:46:58-Station:STA33;,Fire: FIRE ALARM
PARK ON ALLENTOWN  ; AMBLER; 2015-12-11 @ 08:50:55;,Traffic: DISABLED VEHICLE -
RT309 EXPY & NORRISTOWN RD UNDERPASS; LOWER GWYNEDD; 2015-12-11 @ 08:49:07;,Traffic: DISABLED VEHICLE -
RT309 EXPY & NORRISTOWN RD UNDERPASS; LOWER GWYNEDD; 2015-12-11 @ 08:50:04;,Traffic: DISABLED VEHICLE -
GREENWOOD AVE & E GLENSIDE AVE; CHELTENHAM; 2015-12-11 @ 08:47:35;,Traffic: DEBRIS/FLUIDS ON HIGHWAY -
GREENWOOD AVE & E GLENSIDE AVE; CHELTENHAM; 2015-12-11 @ 08:47:58-Station:STA1;,Fire: DEBRIS/FLUIDS ON HIGHWAY
NORTH HILLS DR & NATALIE LN;  NORRISTOWN; Station 308A; 2015-12-11 @ 08:54:14;,EMS: HEMORRHAGING
DOGWOOD DR & GREEN HILL DR;  MARLBOROUGH; Station 344A; 2015-12-11 @ 08:57:50;,EMS: CARDIAC EMERGENCY
CHURCH ST & N 7TH AVE;  ROYERSFORD; Station 325; 2015-12-11 @ 09:06:33;,EMS: UNRESPONSIVE SUBJECT
BETHLEHEM PIKE & HILLTOWN PIKE; HATFIELD TOWNSHIP; 2015-12-11 @ 09:14:04-Station:STA12;,Fire: GAS-ODOR/LEAK
CAMPUS DR & BUCK RD; BRYN ATHYN; 2015-12-11 @ 09:29:49-Station:STA11;,Fire: FIRE ALARM
PHILMONT AVE & ANNE ST; LOWER MORELAND; 2015-12-11 @ 09:32:05-Station:STA8;,Fire: FIRE ALARM
RED RAMBLER DR & WISTERIA LN;  WHITEMARSH; Station 318; 2015-12-11 @ 09:33:14;,EMS: MEDICAL ALERT ALARM
YORK RD & VILLAGE PL;  HATBORO; Station 384; 2015-12-11 @ 09:38:57;,EMS: SYNCOPAL EPISODE
LIMEKILN PIKE & RT309 EXPY SB;  CHELTENHAM; Station 358A; 2015-12-11 @ 09:37:59;,EMS: UNKNOWN MEDICAL EMERGENCY
BROAD ST & E 6TH ST; LANSDALE; 2015-12-11 @ 09:45:42-Station:STA14;,Fire: FIRE ALARM
